	id	priceLabel	name	brandId	brandName	imageLink	desc	vendor	print	material
0	399795110	119.83	Burberry London checked silk tie	870	Burberry	http://bim.shopstyle.com/pim/3c/27/3c27ee2884a1163917d41109fc3be1f3_best.jpg	Nude silk tie from Burberry London featuring a classic pointed design and a contrasting black and red house check print.	farfetch.com	_print	_silk
1	12822215	59.5	BB1 Repp Slim Tie	3415	Brooks Brothers	http://bim.shopstyle.com/pim/6b/63/6b63cc4838699797aac410ea0316faca_best.jpg	"Expertly woven in England, this collection is known for its stripes and vibrant colors. Our signature stripe detailing goes from right to left. Pure silk. 2 5/8"" width. Dry clean. Imported."	Brooks Brothers	_striped	_silk
2	369523836	119.83	Burberry London check woven tie	870	Burberry	http://bim.shopstyle.com/pim/51/d0/51d0e2b9608115fb0ae74f00eec55457_best.jpg	Beige silk tie from Burberry London featuring a classic pointed design and a signature woven 'House' check.	farfetch.com	unknown	_silk
3	436980493	90.2	Salvatore Ferragamo Vintage patterned tie	1948	Salvatore Ferragamo	http://bim.shopstyle.com/pim/d2/b6/d2b66a7e72df2c5df133dbfa04321cab_best.jpg	Azure blue silk patterned tie from Salvatore Ferragamo featuring a multicoloured patterned print. Please note that vintage items are not new and therefore might have minor imperfections.	farfetch.com	_print	_silk
4	462309856	139.3	Salvatore Ferragamo Gancio print tie	1948	Salvatore Ferragamo	http://bim.shopstyle.com/pim/4c/94/4c943cea0449331781257056a390e1aa_best.jpg	Blue silk Gancio print tie from Salvatore Ferragamo featuring a pointed tip.	farfetch.com	_print	_silk
5	445814180	117.87	Burberry London micro dot tie	870	Burberry	http://bim.shopstyle.com/pim/22/67/2267bfa7a6d5a57594bc82c289f22122_best.jpg	Mid blue silk micro dot tie from Burberry London featuring a pointed tip and an embroidered logo.	farfetch.com	unknown	_silk
6	461795606	190.0	Salvatore Ferragamo Dog & Shoe-Print Neck Tie	1948	Salvatore Ferragamo	http://bim.shopstyle.com/pim/41/24/4124e4d275d71527651720ee071bf6b1_best.jpg	"Salvatore Ferragamo orange-red/multicolor dog and shoe-print silk twill neck tie. Self-keeper, contrast logo facing. 3.25"" width, approximately. Available in Orange-Red/Multi. Silk. Dry clean. Made in Italy."	Barneys New York	_print	_silk
7	461954865	95.0	Hermès Tie	1274	Hermes	http://bim.shopstyle.com/pim/5e/df/5edf8d8364e1ef76241abaa6014a7980_best.jpg	Men's dark pink, tan and multicolor Hermès silk necktie with frog and cow motif.	TheRealReal	unknown	_silk
8	458506705	133.94	Burberry London 'Nova check' pointed tip tie	870	Burberry	http://bim.shopstyle.com/pim/ff/8c/ff8c2516e2dec8646042fd02bb4de35e_best.jpg	Beige silk 'Nova check' pointed tip tie from Burberry.	farfetch.com	unknown	_silk
9	399756406	119.83	Burberry London 'Rohan' silk tie	870	Burberry	http://bim.shopstyle.com/pim/a8/3c/a83c9d1cd94907263ddd9f6a5d01872f_best.jpg	Black silk 'Rohan' tie from Burberry Brit featuring a classic design and a contrasting nova nova check design.	farfetch.com	unknown	_silk
10	463662536	79.5	Scottish wool tie in vintage pine tartan	284	J.Crew	http://bim.shopstyle.com/pim/55/b5/55b59cd018249f0c117f72367ed9ea5b_best.jpg	"Sometimes you want to wear a tie even when you don't have to. This one is made from Scottish wool with a classic tartan pattern. Seeing how tartans originated in Scotland, we can say that this is as traditional as it get <ul> <li>2 1/2"" at widest point.</li> <li>Scottish wool.</li> <li>Made in the United Kingdom.</li> </ul>"	J.Crew	unknown	_wool
11	444127318	124.19	Hermès Vintage patterned tie	1274	Hermes	http://bim.shopstyle.com/pim/27/4f/274f52c15e9f0bc70969449c73f32296_best.jpg	Red and blue silk patterned tie from Hermès Vintage featuring a pointed tip and a printed logo. This item is true to fit.	farfetch.com	_print	_silk
12	445491965	174.66	Brioni patterned tie	859	Brioni	http://bim.shopstyle.com/pim/27/f2/27f21f949f3d68416fed05a7185a5555_best.jpg	Blue and white silk patterned tie from Brioni featuring a pointed tip.	farfetch.com	unknown	_silk
13	461954705	95.0	Hermès Tie	1274	Hermes	http://bim.shopstyle.com/pim/ab/a6/aba6e451505bc4968f3333ce702e03a0_best.jpg	Men's blue Hermès silk printed necktie.	TheRealReal	_print	_silk
14	445814117	117.87	Burberry London micro dot tie	870	Burberry	http://bim.shopstyle.com/pim/0a/ce/0acebafd4d58428bb0731b7958ab9bb6_best.jpg	Tonal blue silk micro dot tie from Burberry London featuring a pointed tip and an embroidered logo.	farfetch.com	unknown	_silk
